city_name,year,month,price
Fuzhou,2023,12,23178
Fuzhou,2024,1,23008
Fuzhou,2024,2,23098
Fuzhou,2024,3,23478
Fuzhou,2024,4,22732
Fuzhou,2024,5,22516
Fuzhou,2024,6,21655
Fuzhou,2024,7,21450
Fuzhou,2024,8,20940
Fuzhou,2024,9,20647
Fuzhou,2024,10,20523
Fuzhou,2024,11,21141
Fuzhou,2024,12,20805
Guangzhou,2015,1,18793
Guangzhou,2015,2,18852
Guangzhou,2015,3,19025
Guangzhou,2015,4,19418
Guangzhou,2015,5,19563
Guangzhou,2015,6,19903
Guangzhou,2015,7,20016
Guangzhou,2015,8,19998
Guangzhou,2015,9,19989
Guangzhou,2015,10,19922
Guangzhou,2015,11,19997
Guangzhou,2015,12,20018
Guangzhou,2016,1,20625
Guangzhou,2016,2,20645
Guangzhou,2016,3,20813
Guangzhou,2016,4,21135
Guangzhou,2016,5,21109
Guangzhou,2016,6,21146
Guangzhou,2016,7,21266
Guangzhou,2016,8,21555
Guangzhou,2016,9,21722
Guangzhou,2016,10,22244
Guangzhou,2016,11,22592
Guangzhou,2016,12,22928
Guangzhou,2017,1,23746
Guangzhou,2017,2,24429
Guangzhou,2017,3,25133
Guangzhou,2017,4,25371
Guangzhou,2017,5,26063
Guangzhou,2017,6,27331
Guangzhou,2017,7,28198
Guangzhou,2017,8,28510
Guangzhou,2017,9,28816
Guangzhou,2017,10,28256
Guangzhou,2017,11,28011
Guangzhou,2017,12,28580
Guangzhou,2018,1,29499
Guangzhou,2018,2,30517
Guangzhou,2018,3,31299
Guangzhou,2018,4,31804
Guangzhou,2018,5,32005
Guangzhou,2018,6,32182
Guangzhou,2018,7,33113
Guangzhou,2018,8,32453
Guangzhou,2018,9,31822
Guangzhou,2018,10,31930
Guangzhou,2018,11,31530
Guangzhou,2018,12,31904
Guangzhou,2019,1,32423
Guangzhou,2019,2,32583
Guangzhou,2019,3,32581
Guangzhou,2019,4,32322
Guangzhou,2019,5,31953
Guangzhou,2019,6,32882
Guangzhou,2019,7,33404
Guangzhou,2019,8,33133
Guangzhou,2019,9,32743
Guangzhou,2019,10,32581
Guangzhou,2019,11,33843
